DEPTH,BS,BVW,CARB_FLAG,COAL_FLAG,DELTA,GRMAX,GRMIN,J,KLHC_INT,KLOGH,M,N,PERF_FLAG,PHIF,PORD,RHOFL,RHOMA,RW,SAND_FLAG,SW,SWIRR,TEMP,VSH
3671.4684,8.5,0.132984,0,0,0.2258,115,14,1.40E-05,0,0,1.79,2.45,0,0.212882,0.212882,0.8,2.66,0.0216241,0,0.6247,4.3277,112.841,0.622962
3671.6208,8.5,0.128867,0,0,0.1819,115,14,1.00E-05,0,0,1.79,2.45,0,0.19898,0.19898,0.8,2.66,0.0216235,0,0.6476,4.8623,112.8447,0.623717
3671.7732,8.5,0.124392,0,0,0.2385,115,14,1.60E-05,0,0,1.79,2.45,0,0.180182,0.180182,0.8,2.66,0.0216229,0,0.6904,4.2185,112.8483,0.624472
3671.9256,8.5,0.124223,0,0,0.3768,115,14,1.10E-05,0,0,1.79,2.45,0,0.181179,0.181179,0.8,2.66,0.0216223,0,0.6856,4.8501,112.8519,0.625228
3672.078,8.5,0.115757,0,0,0.3527,115,14,7.00E-06,0,0,1.79,2.45,0,0.138877,0.138877,0.8,2.66,0.0216217,0,0.8335,6.0641,112.8556,0.625983
3672.2304,8.5,0.090513,0,0,0.3311,115,14,3.00E-06,0,0,1.79,2.45,0,0.090513,0.090513,0.8,2.66,0.0216211,0,1,8.8427,112.8592,0.626738
3672.3828,8.5,0.112647,0,0,0.3166,115,14,6.00E-06,0,0,1.79,2.45,0,0.115492,0.115492,0.8,2.66,0.0216206,0,0.9754,6.6838,112.8628,0.627493
3672.5352,8.5,0.125331,0,0,0.4971,115,14,8.00E-06,0,0,1.79,2.45,0,0.158968,0.158968,0.8,2.66,0.02162,0,0.7884,5.6634,112.8665,0.628248
3672.6876,8.5,0.129982,0,0,0.2196,115,14,1.50E-05,0,0,1.79,2.45,0,0.173063,0.173063,0.8,2.66,0.0216194,0,0.7511,4.3475,112.8701,0.629003
3672.84,8.5,0.12357,0,0,0.3116,115,14,1.00E-05,0,0,1.79,2.45,0,0.145807,0.145807,0.8,2.66,0.0216188,0,0.8475,5.2774,112.8737,0.629758
